t,goodput_mbps,cwnd,rtt_ms,rttvar_ms,retrans,loss
0.548,2.1881312204336227,34,99.024,0.116,0,0.0
1.05,9.29792533156486,57,43.497,0.57,0,0.0
1.558,16.569078363628172,100,42.842,0.953,0,0.0
2.063,29.780338323602873,177,42.824,0.547,0,0.0
2.564,42.85364939902079,221,50.328,0.481,2,3.9909776568074586
3.067,42.34840571755372,226,51.427,0.575,2,0.0
3.57,42.25106396672882,231,52.669,0.541,2,0.0
4.071,42.438842502093195,236,54.434,0.638,2,0.0
4.573,42.246049963862234,241,57.87,1.808,2,0.0
5.073,42.33359435361213,245,58.399,0.982,2,0.0
5.573,42.5272940167309,250,57.825,0.498,2,0.0
6.074,42.428740936568495,255,58.091,0.464,2,0.0
6.574,42.58285913995629,259,59.75,0.489,2,0.0
7.077,42.55548077139175,264,60.429,0.358,2,0.0
7.578,42.54302653384358,277,63.539,0.613,2,0.0
8.081,42.184279439599706,295,67.203,0.41,2,0.0
8.584,42.35165977516327,317,72.004,0.584,2,0.0
9.085,42.28000459619718,342,78.917,0.48,2,0.0
9.587,41.9480937507571,257,59.633,1.054,3,1.994376778654012
10.087,42.190203739481646,277,64.097,0.796,3,0.0
10.591,42.25096308996032,294,66.97,0.531,3,0.0
11.096,42.37464360632895,308,70.688,0.492,3,0.0
11.598,42.48783021245691,319,73.705,0.421,3,0.0
12.098,41.497820247749125,162,42.167,0.695,5,3.996335528744804
12.603,36.5278721859114,172,41.648,0.535,5,0.0
13.103,39.57785326386008,179,43.56,0.682,5,0.0
13.605,40.93125555425559,185,42.32,0.153,5,0.0
14.108,40.85518225721666,188,42.623,0.301,5,0.0
14.611,41.340276284564155,191,43.497,0.505,5,0.0
15.113,40.926055770638,195,43.845,0.461,5,0.0
15.616,43.00000995660789,201,44.57,0.865,5,0.0
16.127,42.40255605555003,207,56.043,7.853,5,0.0
16.627,39.82355265080029,212,48.712,0.909,5,0.0
17.128,42.864023510388144,218,50.299,0.911,5,0.0
17.632,42.09234796042672,223,53.961,1.173,5,0.0
18.133,42.567168515759555,228,52.15,1.064,5,0.0
18.636,42.502617738548075,233,53.3,1.528,5,0.0
19.138,42.40557754884525,238,54.315,0.803,5,0.0
19.641,42.56811672833936,243,55.477,0.476,5,0.0
20.142,42.619212499786,248,57.55,1.151,5,0.0
20.644,42.60238466449562,252,57.422,0.739,5,0.0
21.148,42.182106786073845,257,63.563,2.677,5,0.0
21.65,43.008417507528165,261,60.177,1.26,5,0.0
22.151,42.63858449456756,269,61.903,0.737,5,0.0
22.653,42.62215663941137,291,65.911,0.564,5,0.0
23.155,42.424588554001865,316,72.063,0.566,5,0.0
23.658,42.28042770035509,237,54.433,1.272,6,1.986058820771893
24.162,42.19516137354197,259,59.781,0.944,6,0.0
24.663,42.3252964055711,278,62.799,0.512,6,0.0
25.165,42.127359266714244,293,68.081,1.129,6,0.0
25.669,42.29308973344475,306,71.128,1.288,6,0.0
26.612,22.216002977631305,316,73.182,0.313,6,0.0
27.245,9.535405178887306,318,73.526,0.531,6,0.0
27.746,42.19948293549163,325,75.55,0.962,6,0.0
28.248,42.29538224771705,331,76.12,0.651,6,0.0
28.749,42.14310062829268,334,77.223,0.551,6,0.0
29.25,41.469087837268496,241,55.179,0.599,8,3.991680319463551
29.751,42.19584714575623,253,58.673,0.555,8,0.0
30.253,42.38145670863464,262,59.7,0.342,8,0.0
30.753,42.4498280162852,270,60.675,0.419,8,0.0
31.254,42.377515778364575,276,62.738,0.569,8,0.0
31.754,42.24150804506503,279,65.821,0.313,8,0.0
32.255,42.33703446017835,282,65.808,0.897,8,0.0
32.756,41.34632137768097,283,64.472,0.81,8,0.0
33.257,43.20306254727337,283,63.312,0.546,8,0.0
33.758,42.660682436174696,283,65.183,0.6,8,0.0
34.26,42.682965333090046,283,65.21,0.687,8,0.0
34.763,42.353984797213094,283,65.05,0.572,8,0.0
35.263,42.52984549881893,286,65.549,0.757,8,0.0
35.763,42.47182699271373,290,65.767,0.525,8,0.0
36.265,42.43196393264625,294,68.132,0.652,8,0.0
36.769,42.517165398106826,297,68.768,0.344,8,0.0
37.269,42.59389868837333,301,68.534,0.387,8,0.0
37.771,42.58046953071495,305,69.917,0.842,8,0.0
38.276,42.45594920843064,314,71.193,0.935,8,0.0
38.777,42.60581741015945,326,74.22,0.552,8,0.0
39.279,42.64694766048439,241,54.265,0.602,9,1.993157985526179
39.779,42.50291894093942,261,58.603,0.51,9,0.0
40.283,41.97226002158991,279,69.387,1.227,9,0.0
40.788,42.78411932630255,294,67.891,0.735,9,0.0
41.289,42.72996292108564,305,69.32,0.554,9,0.0
41.79,42.61753936487298,314,70.995,0.991,9,0.0
42.29,42.77151604066188,321,73.11,0.657,9,0.0
42.791,42.604511579074305,327,73.689,0.563,9,0.0
43.295,42.41092259768538,330,75.566,1.021,9,0.0
43.796,42.67951984491129,332,76.568,0.489,9,0.0
44.297,42.64182291463359,234,53.345,0.407,11,3.991334654482908
44.8,42.605162138987616,256,57.566,0.637,11,0.0
45.301,42.339135186277666,274,64.204,0.266,11,0.0
45.803,42.22026130128166,290,66.125,0.619,11,0.0
46.304,42.55262991699604,302,68.986,0.661,11,0.0
46.806,42.33662729889551,312,71.202,0.381,11,0.0
47.31,42.277822457380324,319,74.456,0.603,11,0.0
47.811,42.54023335113643,233,53.336,0.623,12,1.99550022099253
48.311,42.45238926971244,244,56.274,0.592,12,0.0
48.812,42.432517376045645,253,59.172,1.114,12,0.0
49.315,42.32475913847391,261,60.557,0.478,12,0.0
49.816,42.43537018285029,266,60.929,1.136,12,0.0
50.318,42.469523106025136,269,62.141,0.783,12,0.0
50.819,42.4453040563955,271,63.002,0.861,12,0.0
51.32,42.602875561123135,272,62.202,0.335,12,0.0
51.821,42.41592410122622,272,62.778,0.4,12,0.0
52.322,42.55033783120268,272,61.846,0.429,12,0.0
52.825,42.542648473526654,272,62.272,0.883,12,0.0
53.325,42.70432383656187,275,63.094,0.374,12,0.0
53.825,42.5317749385994,279,63.917,0.45,12,0.0
54.326,42.52558643543601,283,65.913,1.361,12,0.0
54.829,42.53428810927872,287,65.994,0.448,12,0.0
55.331,42.59437119875383,291,66.673,0.674,12,0.0
55.832,42.583389169476796,295,68.448,0.477,12,0.0
56.334,42.58328050719761,299,68.867,0.598,12,0.0
56.836,42.43506800060044,305,70.491,1.222,12,0.0
57.484,17.670570280959158,312,69.9,0.857,12,0.0
58.111,9.501994284319698,316,73.524,0.472,12,0.0
58.613,42.34997565652861,330,76.067,0.771,12,0.0
59.128,36.09495376160059,262,80.709,0.466,13,1.9429722912579532
59.629,47.563511495506674,179,42.965,0.325,14,1.9956977132027676
