t,goodput_mbps,cwnd,rtt_ms,rttvar_ms,retrans,loss
0.2,88.27296,43,0.545,0.015,1,5.0
0.4,0.65536,43,0.545,0.015,1,0.0
0.6,0.65536,43,0.545,0.015,1,0.0
0.8,0.65536,43,0.545,0.015,1,0.0
1.0,0.65536,43,0.545,0.015,1,0.0
1.2,23.59296,49,0.575,0.204,1,0.0
1.4,0.65536,49,0.575,0.204,1,0.0
1.6,0.65536,49,0.575,0.204,1,0.0
1.8,0.65536,49,0.575,0.204,1,0.0
2.0,0.65536,49,0.575,0.204,1,0.0
2.2,0.65536,49,0.575,0.204,1,0.0
2.4,0.65536,49,0.575,0.204,1,0.0
2.6,0.65536,49,0.575,0.204,1,0.0
2.8,0.65536,49,0.575,0.204,1,0.0
3.0,0.65536,49,0.575,0.204,1,0.0
3.2,0.65536,49,0.575,0.204,1,0.0
3.4,0.65536,49,0.575,0.204,1,0.0
3.6,19.00544,49,0.455,0.026,1,0.0
3.8,0.65536,49,0.455,0.026,1,0.0
4.0,0.65536,49,0.455,0.026,1,0.0
4.2,0.65536,49,0.455,0.026,1,0.0
4.4,0.65536,49,0.455,0.026,1,0.0
4.6,0.65536,49,0.455,0.026,1,0.0
4.8,0.65536,49,0.455,0.026,1,0.0
5.0,22.28224,34,0.47,0.054,2,5.0
5.2,0.65536,34,0.47,0.054,2,0.0
5.4,0.65536,34,0.47,0.054,2,0.0
5.6,0.65536,34,0.47,0.054,2,0.0
5.8,0.65536,34,0.47,0.054,2,0.0
6.0,0.65536,34,0.47,0.054,2,0.0
6.2,22.28224,35,0.54,0.046,2,0.0
6.4,0.65536,35,0.54,0.046,2,0.0
6.6,0.65536,35,0.54,0.046,2,0.0
6.8,0.65536,35,0.54,0.046,2,0.0
7.0,24.24832,35,0.567,0.127,2,0.0
7.2,0.65536,35,0.567,0.127,2,0.0
7.4,0.65536,35,0.567,0.127,2,0.0
7.6,0.65536,35,0.567,0.127,2,0.0
7.8,24.07456,19,0.402,0.025,4,10.0
8.0,0.65536,19,0.402,0.025,4,0.0
8.2,0.65536,19,0.402,0.025,4,0.0
8.4,0.65536,19,0.402,0.025,4,0.0
8.6,23.59296,23,0.477,0.013,4,0.0
8.8,0.65536,23,0.477,0.013,4,0.0
9.0,0.65536,23,0.477,0.013,4,0.0
9.2,25.46464,23,0.426,0.044,4,0.0
9.4,0.65536,23,0.426,0.044,4,0.0
9.6,25.55904,27,0.479,0.098,4,0.0
9.8,0.65536,27,0.479,0.098,4,0.0
10.0,25.55904,27,0.484,0.049,4,0.0
10.2,0.65536,27,0.484,0.049,4,0.0
10.4,25.55904,27,0.483,0.115,4,0.0
10.6,25.55904,27,0.403,0.027,4,0.0
10.8,0.65536,27,0.403,0.027,4,0.0
11.0,24.97984,27,0.42,0.035,4,0.0
11.2,26.13824,27,0.344,0.029,4,0.0
11.4,53.9744,27,0.481,0.05,4,0.0
11.6,25.55904,27,0.501,0.05,4,0.0
11.8,26.2144,27,0.372,0.057,4,0.0
12.0,25.55904,50,1.486,0.72,4,0.0
12.2,27.02528,50,0.644,0.112,4,0.0
12.4,25.55904,35,0.373,0.022,5,5.0
12.6,26.2144,35,0.464,0.06,5,0.0
12.8,52.02336,35,0.401,0.028,5,0.0
13.0,25.96448,35,0.489,0.07,5,0.0
13.2,26.2144,36,0.443,0.1,5,0.0
13.4,25.55904,46,0.416,0.08,5,0.0
13.6,27.6624,53,0.503,0.135,5,0.0
13.8,0.65536,53,0.503,0.135,5,0.0
14.0,52.3344,53,0.578,0.212,5,0.0
14.2,0.65536,53,0.578,0.212,5,0.0
14.4,25.55904,37,0.5,0.028,6,5.0
14.6,26.2144,25,0.408,0.073,7,5.0
14.8,26.2144,25,0.471,0.052,7,0.0
15.0,25.55904,26,0.416,0.025,7,0.0
15.2,0.65536,26,0.416,0.025,7,0.0
15.4,25.55904,26,0.468,0.027,7,0.0
15.6,25.9248,26,0.412,0.046,7,0.0
15.8,25.84864,26,0.451,0.054,7,0.0
16.0,26.77536,26,0.472,0.056,7,0.0
16.2,26.2144,26,0.468,0.043,7,0.0
16.4,26.2144,26,0.471,0.021,7,0.0
16.6,26.2144,26,0.516,0.097,7,0.0
16.8,25.57728,26,0.421,0.059,7,0.0
17.0,26.19616,26,0.617,0.186,7,0.0
17.2,26.2144,26,0.598,0.109,7,0.0
17.4,26.15648,26,0.387,0.018,7,0.0
17.6,25.61696,26,0.416,0.019,7,0.0
17.8,26.8912,30,0.451,0.009,7,0.0
18.0,0.65536,30,0.451,0.009,7,0.0
18.2,25.55904,25,0.542,0.132,8,5.0
18.4,52.4288,25,0.458,0.019,8,0.0
18.6,0.65536,25,0.458,0.019,8,0.0
18.8,25.38528,17,0.467,0.056,10,10.0
19.0,25.7328,22,0.479,0.049,11,5.0
19.2,26.2144,24,0.465,0.054,11,0.0
19.4,26.2144,24,0.398,0.03,11,0.0
19.6,26.2144,21,0.491,0.174,12,5.0
19.8,25.55904,25,0.513,0.041,12,0.0
20.0,25.98272,18,0.412,0.032,13,5.0
20.2,26.15648,26,0.395,0.025,14,5.0
20.4,26.504,26,0.476,0.033,14,0.0
20.6,25.55904,26,0.446,0.007,14,0.0
