t,goodput_mbps,cwnd,rtt_ms,rttvar_ms,retrans,loss
0.547,3.4492690650093194,82,89.377,0.967,0,0.0
1.063,10.56626197391134,110,75.806,0.666,0,0.0
1.583,17.004036492206254,155,77.515,1.25,0,0.0
2.083,23.120900166616213,213,75.368,0.824,0,0.0
2.587,31.965368712365468,295,76.952,0.701,0,0.0
3.089,40.681380067329705,399,87.166,1.028,0,0.0
3.591,42.58895413365116,508,111.056,0.737,0,0.0
4.092,42.63802460460922,386,86.919,0.591,28,55.822376861193305
4.593,42.61423317801179,414,93.371,1.253,28,0.0
5.094,40.065506629705325,304,81.105,3.295,48,39.94445894132952
5.595,31.07772103010476,320,102.892,0.663,48,0.0
6.096,40.07188153264757,334,75.306,0.323,48,0.0
6.598,42.587173186872086,344,77.308,0.972,48,0.0
7.1,42.62919006425153,352,81.051,0.544,48,0.0
7.602,42.61940359160777,359,82.019,0.764,48,0.0
8.105,42.571628160455795,363,83.173,0.49,48,0.0
8.605,42.34473447909154,366,83.514,0.707,48,0.0
9.108,42.744808216892594,368,84.17,0.689,48,0.0
9.61,41.116637518846474,368,84.219,0.644,48,0.0
10.111,42.748268637142495,368,83.729,0.627,48,0.0
10.612,42.634744733188235,368,84.867,0.657,48,0.0
11.112,42.554434399127686,368,79.633,0.752,48,0.0
11.614,42.574694047959866,368,83.709,0.425,48,0.0
12.114,42.73469348452692,369,84.236,0.439,48,0.0
12.616,42.737299518524836,372,84.798,0.458,48,0.0
13.12,42.48012307141691,375,86.512,0.586,48,0.0
13.626,40.423337585976455,380,101.09,9.407,48,0.0
14.126,42.19565461302598,386,89.125,0.682,48,0.0
14.629,42.29842487820225,395,90.808,0.534,48,0.0
15.13,42.61102596205569,407,93.098,0.366,48,0.0
15.633,42.517434000030335,421,96.504,0.896,48,0.0
16.141,42.53282911555946,438,103.717,2.909,48,0.0
16.642,42.6208835968553,458,103.995,0.235,48,0.0
17.143,42.49317433276485,482,109.181,0.431,48,0.0
17.644,42.36796070616394,358,81.367,0.537,49,1.9966201774454444
18.337,13.986323439498559,370,84.941,1.084,49,0.0
18.93,8.46201079367381,376,84.706,0.623,49,0.0
19.433,42.483770001573816,399,91.488,1.018,49,0.0
19.937,42.31111234915862,419,96.704,0.766,49,0.0
20.438,42.03306258920256,435,102.011,0.466,49,0.0
20.938,42.639089609115075,449,103.465,0.714,49,0.0
21.44,42.4660852272493,459,105.65,0.669,49,0.0
21.942,42.48557414022242,331,75.343,0.633,50,1.992018256469197
22.444,42.40762534352007,346,79.03,0.254,50,0.0
22.945,41.76968478103808,359,79.814,2.315,50,0.0
23.447,42.69915634579623,370,84.402,0.482,50,0.0
23.947,42.04771974509462,377,86.651,0.512,50,0.0
24.45,42.0020205090887,383,89.672,0.357,50,0.0
24.95,42.220591374533846,388,89.16,2.354,50,0.0
25.451,42.38328201104627,390,90.649,1.068,50,0.0
25.954,42.44885585784124,392,89.929,0.335,50,0.0
26.455,42.53254387362939,392,90.395,0.783,50,0.0
26.958,42.59550168435475,392,89.448,0.622,50,0.0
27.461,42.438549898932074,392,91.181,1.105,50,0.0
27.961,42.64655536466841,392,90.677,1.545,50,0.0
28.463,42.431659854810945,392,91.786,0.32,50,0.0
28.965,42.3693938722132,394,90.647,0.441,50,0.0
29.467,42.49668699675875,396,90.495,0.423,50,0.0
29.97,42.37451964148341,400,91.235,0.247,50,0.0
30.472,42.445830196275146,405,94.345,0.713,50,0.0
30.972,41.98277126366428,411,95.104,0.993,50,0.0
31.475,41.9722797034448,421,97.958,0.697,50,0.0
31.975,42.33859113322857,432,99.927,0.617,50,0.0
32.476,42.426085215613895,446,101.588,0.511,50,0.0
32.98,42.54949619465329,464,105.81,0.661,50,0.0
33.48,33.98586083496896,369,111.083,0.653,51,1.9985400374711009
33.983,51.11906945345229,363,82.235,0.449,51,0.0
34.486,42.542460226631945,387,88.191,0.389,51,0.0
34.986,42.18127918700806,408,94.017,0.665,51,0.0
35.488,42.46375883919768,426,96.678,0.503,51,0.0
35.988,42.490418290825,441,101.275,0.82,51,0.0
36.489,42.5852473048633,452,103.435,0.841,51,0.0
36.992,42.228102468347004,462,105.598,0.278,51,0.0
37.494,42.45478018677824,330,74.728,0.832,52,1.9942487637885127
37.997,42.24726697725873,346,78.681,0.651,52,0.0
38.498,42.01211449435345,360,83.494,0.488,52,0.0
38.998,42.376553209952135,371,85.608,1.049,52,0.0
39.5,42.18408512573871,379,86.468,0.403,52,0.0
40.003,42.38279942646852,386,88.569,0.844,52,0.0
40.504,42.59715997619762,391,90.136,1.738,52,0.0
41.008,42.591647623737714,394,90.109,0.646,52,0.0
41.509,42.547329416519965,395,91.253,0.499,52,0.0
42.015,42.664837503804115,396,91.562,1.603,52,0.0
42.518,42.64082046981514,396,90.972,0.612,52,0.0
43.02,42.703999238497644,396,90.857,0.492,52,0.0
43.524,42.495107755361666,396,91.125,1.206,52,0.0
44.025,42.284549841964676,396,92.067,0.703,52,0.0
44.528,42.137641549863574,397,92.081,0.499,52,0.0
45.028,41.94286810352385,399,92.677,0.901,52,0.0
45.533,42.299210472419425,403,93.01,0.453,52,0.0
46.034,42.618442343134916,407,93.349,0.703,52,0.0
46.536,42.57751739385435,413,94.724,0.374,52,0.0
47.04,42.38222619840405,422,96.899,0.851,52,0.0
47.54,42.46998870602498,433,99.629,0.477,52,0.0
48.041,42.232218267874984,447,103.47,0.909,52,0.0
48.542,42.17612698014583,463,106.052,0.638,52,0.0
49.22,16.86217617383894,328,99.263,0.909,53,1.4745934087569172
49.802,7.93908073147055,334,76.794,0.949,53,0.0
50.304,42.21070120725196,361,83.135,0.422,53,0.0
50.807,42.124465514370804,384,87.408,0.442,53,0.0
51.31,42.270817536853066,403,91.782,0.599,53,0.0
51.811,42.202162751049904,420,96.139,0.776,53,0.0
52.312,41.94346236664511,433,99.423,0.607,53,0.0
52.815,41.820805731846825,444,102.749,0.373,53,0.0
53.316,42.21262980144081,452,105.229,0.651,53,0.0
53.817,41.91460431151855,458,106.624,0.758,53,0.0
54.317,42.30248902919989,463,106.135,0.271,53,0.0
54.818,42.32127982155717,325,108.072,0.487,54,1.9990477329801335
55.319,41.24287061814791,343,83.641,3.149,54,0.0
55.82,42.89466498811993,357,81.417,0.467,54,0.0
56.321,42.40928178402242,368,84.566,0.558,54,0.0
56.825,42.50850157173794,377,87.639,1.479,54,0.0
57.325,42.82990451261052,383,87.473,0.778,54,0.0
57.827,42.61159295705514,389,88.515,0.766,54,0.0
58.329,41.97700042941103,392,90.761,0.301,54,0.0
58.83,42.08656185025233,394,91.362,0.676,54,0.0
59.332,42.283281505927334,395,92.729,0.89,54,0.0
59.834,42.15081805455934,395,86.784,2.606,54,0.0
