t,goodput_mbps,cwnd,rtt_ms,rttvar_ms,retrans,loss
0.548,0.5382028032368484,40,201.359,5.436,0,0.0
1.074,2.837261709800141,60,127.613,0.677,0,0.0
1.612,4.853533912308165,74,121.144,1.625,0,0.0
2.112,7.582385298605954,93,120.039,0.29,0,0.0
2.613,7.661101677606974,113,126.869,4.955,0,0.0
3.121,9.737685544899415,138,120.792,1.159,0,0.0
3.647,11.323240521009556,168,120.152,1.252,0,0.0
4.148,14.554899667633693,205,120.942,0.949,0,0.0
4.648,18.364624984527477,252,121.077,0.544,0,0.0
5.148,21.56895808274051,307,120.36,0.615,0,0.0
5.675,25.76660020348156,376,121.023,0.743,0,0.0
6.176,32.58383124593585,459,121.632,1.992,0,0.0
6.683,39.023808611057056,560,124.816,1.84,0,0.0
7.184,43.20398366661633,565,130.258,0.454,2,3.996183226107648
7.687,42.713163263574685,567,129.325,0.563,2,0.0
8.189,42.11413930830949,569,131.06,0.675,2,0.0
8.689,42.41756903493973,571,132.493,1.022,2,0.0
9.191,9.090762819657758,571,130.531,0.451,2,0.0
9.768,7.34667720965723,571,132.988,1.043,2,0.0
10.272,42.397493951486666,573,131.686,0.361,2,0.0
10.774,42.40724249155701,576,134.635,0.546,2,0.0
11.275,42.53636802941098,583,133.19,0.574,2,0.0
11.778,42.558394668450624,592,135.548,0.904,2,0.0
12.279,42.43232381911073,605,139.863,0.699,2,0.0
12.78,42.609809286319745,619,141.271,0.56,2,0.0
13.283,42.54063000821095,636,145.984,0.677,2,0.0
13.784,42.3914704960577,657,150.045,0.817,2,0.0
14.293,31.109529870878664,575,155.747,1.016,3,1.9644458266279738
14.796,51.83758505532841,505,119.959,0.435,3,0.0
15.297,41.60915789821854,537,121.518,0.588,3,0.0
15.797,42.5693198315704,564,128.523,0.772,3,0.0
16.297,42.49336295066428,588,133.29,1.082,3,0.0
16.798,42.66421360581395,608,138.173,0.916,3,0.0
17.298,42.595706260715076,625,142.866,0.484,3,0.0
17.801,42.56880074149147,640,146.635,0.523,3,0.0
18.303,42.54477762740194,651,149.659,0.828,3,0.0
18.803,42.43166773363947,660,152.119,0.634,3,0.0
19.303,41.985541848758366,466,134.716,1.61,4,1.9989581769526437
19.805,38.48715230346276,488,121.293,0.596,4,0.0
