t,goodput_mbps,cwnd,rtt_ms,rttvar_ms,retrans,loss
0.547,1.0599870971565355,31,198.499,0.604,0,0.0
1.094,1.7046925957013175,35,196.714,3.443,0,0.0
1.621,2.0692686100340403,41,129.65,2.506,0,0.0
2.123,3.3107005966262664,49,125.959,1.746,0,0.0
2.626,4.259138753355451,60,125.782,1.22,0,0.0
3.153,4.880982273095631,73,124.663,1.434,0,0.0
3.681,5.839656933729795,89,130.332,1.818,0,0.0
4.185,7.450208798240757,108,123.388,0.622,0,0.0
4.968,4.238771043190478,125,124.083,0.587,0,0.0
5.504,1.633367130877157,129,122.931,0.49,0,0.0
6.006,10.910000376173691,157,124.021,0.402,0,0.0
6.506,13.370361369668688,191,125.66,1.338,0,0.0
7.009,16.09165473611964,233,123.461,0.62,0,0.0
7.509,19.70509296425535,283,127.361,2.665,0,0.0
8.021,23.33561471696029,343,126.766,4.773,0,0.0
8.522,29.053683166266094,418,125.127,0.854,0,0.0
9.027,35.05906435030594,508,125.387,1.35,0,0.0
9.528,41.56269771580425,613,130.011,1.713,0,0.0
10.03,43.08427655828265,723,158.415,0.632,0,0.0
10.532,41.67491359751751,529,128.222,1.18,32,63.7618150429504
11.033,42.001439084973235,566,126.803,0.806,32,0.0
11.534,42.60319630244455,599,135.59,0.852,32,0.0
12.034,42.691630036398664,627,142.601,0.729,32,0.0
12.535,42.544028073081435,651,147.718,0.509,32,0.0
13.037,42.58833655892596,672,153.022,1.059,32,0.0
13.539,42.59062014627307,690,157.12,0.914,32,0.0
14.042,39.374989983809485,497,125.764,0.903,33,1.9891019907599299
14.545,39.48601976418872,518,124.927,0.832,33,0.0
15.047,41.441091972590435,536,123.847,0.764,33,0.0
15.552,41.62400144462894,550,124.715,1.466,33,0.0
16.058,43.44256186324561,562,128.822,0.959,33,0.0
16.559,41.97685241558913,570,130.612,0.425,33,0.0
17.06,42.58531650607183,577,132.847,0.516,33,0.0
17.564,42.73443099367413,582,132.792,0.567,33,0.0
18.069,42.57426605328599,585,134.143,0.824,33,0.0
18.569,42.901329040486154,587,134.285,0.707,33,0.0
19.07,42.53829835076465,588,135.417,0.651,33,0.0
19.573,42.74181150704783,588,134.496,0.776,33,0.0
20.074,42.53442624377816,588,133.907,0.616,33,0.0
20.576,42.13578300979941,588,140.856,0.572,33,0.0
21.079,42.6949913579948,588,135.08,0.691,33,0.0
21.58,42.61169452931284,589,135.997,0.778,33,0.0
22.083,42.26893308516002,591,137.514,0.74,33,0.0
22.584,42.59046538791522,594,135.974,0.757,33,0.0
23.084,42.41985718313242,598,138.174,0.617,33,0.0
23.584,42.79536085462837,605,138.92,0.666,33,0.0
24.087,42.48555953539534,612,140.241,0.371,33,0.0
24.59,42.49043191037659,623,143.32,0.41,33,0.0
25.093,42.900436776928906,637,145.849,0.262,33,0.0
25.597,42.421109059985234,652,150.467,1.516,33,0.0
26.098,42.861363546471885,671,152.834,1.399,33,0.0
26.598,42.51006849752636,694,158.099,0.652,33,0.0
27.102,37.94168250529677,677,163.979,0.605,34,1.9826190702407946
27.603,45.22762800229816,522,130.252,0.538,41,13.987207668157803
28.103,41.915480778362294,557,127.541,0.506,41,0.0
28.614,31.155095945579244,454,133.572,2.678,62,41.059077172362066
29.115,42.77629720693051,425,125.363,0.724,62,0.0
29.618,33.69616227517598,442,125.009,1.172,62,0.0
30.12,35.24183418875572,457,125.417,0.548,62,0.0
30.622,35.89785202805146,468,126.925,1.82,62,0.0
31.123,36.57641505583623,476,123.912,1.229,62,0.0
31.625,37.62462992237694,483,124.18,0.384,62,0.0
32.125,37.944699842201345,488,129.186,1.924,62,0.0
32.626,37.96074759475771,492,125.897,0.372,62,0.0
33.127,38.00439787495529,493,125.53,0.622,62,0.0
33.628,38.268491342830906,494,126.314,0.369,62,0.0
34.129,37.32115066199387,494,126.54,1.139,62,0.0
34.633,38.78393705548388,494,125.342,1.307,62,0.0
35.139,38.661885638929625,494,124.412,0.732,62,0.0
35.809,14.432899052544698,494,124.912,0.495,62,0.0
36.392,7.688345091201621,494,125.625,1.169,62,0.0
36.895,38.245198510880115,495,124.93,0.307,62,0.0
37.396,37.92860459385317,496,124.956,0.729,62,0.0
37.897,38.506908130759115,499,126.602,2.251,62,0.0
38.397,39.26582502084519,503,126.011,0.416,62,0.0
38.898,39.04267523737894,509,126.123,0.777,62,0.0
39.398,38.78008525073304,516,125.227,0.402,62,0.0
39.899,40.5979714664891,527,124.467,0.591,62,0.0
40.399,41.18674231658346,539,125.218,0.973,62,0.0
40.902,42.31746943012044,555,127.873,1.294,62,0.0
41.404,42.521260830971734,573,131.158,0.778,62,0.0
41.907,42.49755800229806,595,135.905,0.274,62,0.0
42.408,42.53782503155091,621,140.824,0.609,62,0.0
42.91,42.79787900984875,650,146.165,0.425,62,0.0
43.413,42.36625553049915,684,155.123,0.535,62,0.0
43.936,29.240445302959447,494,135.048,3.403,73,21.04159808598911
44.436,53.558065207800325,531,123.476,0.873,73,0.0
44.938,42.55048696700056,563,126.912,0.887,73,0.0
45.44,42.70975513634688,591,134.171,0.82,73,0.0
45.943,42.66884763408047,615,139.408,0.23,73,0.0
46.447,42.61950235039816,636,144.905,0.871,73,0.0
46.949,42.85068038674477,653,149.274,0.707,73,0.0
47.452,42.635111765535015,667,151.586,0.718,73,0.0
47.953,42.59733607614667,679,155.105,1.201,73,0.0
48.471,34.25627535147622,590,160.016,2.709,74,1.9286497303580756
48.974,48.33052255123866,500,123.792,0.212,74,0.0
49.474,40.28670189121439,520,125.653,1.676,74,0.0
49.978,39.67512434068726,536,124.575,1.635,74,0.0
50.48,42.52239085127679,549,124.834,1.018,74,0.0
50.982,43.520805997937856,560,127.846,0.532,74,0.0
51.484,42.69505860622412,568,129.814,0.495,74,0.0
51.988,42.60854431062901,575,132.15,0.71,74,0.0
52.489,42.7233217687459,579,133.844,0.586,74,0.0
52.991,42.7371079205556,582,132.562,0.777,74,0.0
53.491,42.20711931967726,584,133.119,0.375,74,0.0
53.991,42.72893956804074,584,133.852,0.593,74,0.0
54.493,42.741253309935686,584,133.688,0.671,74,0.0
54.995,42.69518410098353,584,133.975,0.528,74,0.0
55.496,42.54330058753849,584,134.823,0.409,74,0.0
55.997,42.4845598569759,584,136.069,0.922,74,0.0
56.5,42.77178660518986,585,133.722,1.222,74,0.0
57.0,42.61644351451199,588,134.796,0.674,74,0.0
57.503,42.590752218844024,591,135.699,0.559,74,0.0
58.007,42.521446930783426,595,137.941,1.039,74,0.0
58.508,42.73084323334037,603,138.648,0.803,74,0.0
59.009,42.21920146172795,611,142.357,0.611,74,0.0
59.51,42.393144079704335,622,142.808,0.899,74,0.0
