t,goodput_mbps,cwnd,rtt_ms,rttvar_ms,retrans,loss
0.2,90.85792,155,0.526,0.061,0,0.0
0.4,0.65536,155,0.526,0.061,0,0.0
0.6,0.65536,155,0.526,0.061,0,0.0
0.8,0.65536,155,0.526,0.061,0,0.0
1.0,19.00544,155,1.027,0.276,0,0.0
1.2,0.65536,155,1.027,0.276,0,0.0
1.4,0.65536,155,1.027,0.276,0,0.0
1.6,19.6608,155,0.485,0.02,0,0.0
1.8,0.65536,155,0.485,0.02,0,0.0
2.0,20.31616,155,0.447,0.095,0,0.0
2.2,19.73696,155,0.365,0.033,0,0.0
2.4,1.23456,155,0.382,0.048,0,0.0
2.6,19.6608,155,0.452,0.068,0,0.0
2.8,0.65536,155,0.452,0.068,0,0.0
3.0,18.91104,155,0.462,0.037,0,0.0
3.2,18.35008,155,0.433,0.047,0,0.0
3.4,18.1184,155,0.432,0.029,0,0.0
3.6,18.58176,155,0.517,0.064,0,0.0
3.8,17.69472,155,0.63,0.112,0,0.0
4.0,20.9136,155,0.512,0.03,0,0.0
4.2,21.02944,108,0.49,0.045,1,5.0
4.4,41.94304,75,0.395,0.036,2,5.0
4.6,20.97152,75,0.378,0.036,2,0.0
4.8,19.6608,75,0.415,0.05,2,0.0
5.0,19.5664,75,0.474,0.082,2,0.0
5.2,36.70016,76,0.547,0.087,2,0.0
5.4,20.97152,53,0.633,0.1,3,5.0
5.6,41.28768,37,0.479,0.031,4,5.0
5.8,20.97152,38,0.421,0.058,4,0.0
6.0,18.35008,38,0.425,0.056,4,0.0
6.2,36.70016,38,0.547,0.102,4,0.0
6.4,38.60832,38,0.42,0.016,4,0.0
6.6,20.624,38,0.435,0.025,4,0.0
6.8,42.15648,40,0.444,0.06,4,0.0
7.0,41.6352,40,0.464,0.028,4,0.0
7.2,20.97152,40,0.502,0.031,4,0.0
7.4,36.70016,42,0.578,0.06,4,0.0
7.6,36.41056,29,0.456,0.035,5,5.0
7.8,38.5504,24,0.463,0.037,6,5.0
8.0,42.34848,24,0.422,0.052,6,0.0
8.2,41.28768,26,0.375,0.017,6,0.0
8.4,58.23264,28,0.443,0.044,6,0.0
8.6,36.70016,28,0.409,0.028,6,0.0
8.8,38.66624,28,0.491,0.037,6,0.0
9.0,41.94304,28,0.416,0.038,6,0.0
9.2,41.71136,28,0.423,0.024,6,0.0
9.4,41.51936,20,0.422,0.026,7,5.0
9.6,36.70016,25,0.473,0.028,7,0.0
9.8,36.70016,25,0.409,0.026,8,5.0
10.0,38.31872,25,0.414,0.064,8,0.0
10.2,42.29056,25,0.475,0.037,8,0.0
10.4,41.94304,28,0.481,0.019,9,5.0
10.6,19.6608,31,0.534,0.063,9,0.0
10.8,38.03232,24,0.427,0.012,10,5.0
11.0,36.70016,25,0.466,0.044,11,5.0
11.2,38.66624,27,0.438,0.029,11,0.0
11.4,41.94304,27,0.416,0.035,11,0.0
11.6,41.94304,27,0.424,0.018,11,0.0
11.8,41.28768,27,0.464,0.125,11,0.0
12.0,55.05024,27,0.437,0.027,11,0.0
12.2,36.0448,27,0.552,0.11,11,0.0
12.4,39.3216,31,0.521,0.082,11,0.0
12.6,41.47968,36,0.53,0.123,11,0.0
12.8,41.09568,38,0.451,0.074,11,0.0
13.0,37.9744,38,0.439,0.038,11,0.0
13.2,55.05024,26,0.468,0.023,12,5.0
13.4,38.66624,26,0.496,0.023,12,0.0
13.6,41.94304,26,0.436,0.019,12,0.0
13.8,41.28768,27,0.654,0.114,12,0.0
14.0,39.3216,27,0.501,0.046,12,0.0
14.2,36.70016,27,0.553,0.066,12,0.0
14.4,54.39488,27,0.499,0.026,12,0.0
14.6,41.98272,27,0.486,0.072,12,0.0
14.8,41.94304,27,0.41,0.015,12,0.0
15.0,41.28768,22,0.488,0.085,13,5.0
15.2,36.70016,24,0.47,0.12,13,0.0
15.4,36.70016,24,0.491,0.01,14,5.0
15.6,38.66624,24,0.512,0.098,14,0.0
15.8,20.97152,30,0.534,0.076,14,0.0
16.0,40.23008,37,0.436,0.037,14,0.0
16.2,41.40352,37,0.448,0.097,14,0.0
16.4,39.55328,37,0.436,0.02,14,0.0
16.6,36.0448,37,0.444,0.054,14,0.0
16.8,21.06912,37,0.485,0.05,14,0.0
17.0,41.94304,37,0.487,0.069,14,0.0
17.2,20.624,37,0.552,0.064,14,0.0
17.4,62.60672,38,0.429,0.035,14,0.0
17.6,42.33024,40,0.532,0.099,14,0.0
17.8,18.35008,40,0.404,0.033,14,0.0
18.0,57.01632,28,0.478,0.071,15,5.0
18.2,41.71136,28,0.411,0.019,15,0.0
18.4,21.2032,29,0.48,0.043,15,0.0
18.6,41.28768,31,0.469,0.125,15,0.0
18.8,39.3216,23,0.424,0.019,16,5.0
19.0,55.05024,25,0.57,0.058,16,0.0
19.2,38.66624,25,0.518,0.117,16,0.0
19.4,41.94304,24,0.431,0.007,17,5.0
19.6,20.31616,39,0.466,0.09,17,0.0
19.8,42.19616,42,0.432,0.052,17,0.0
20.0,19.5664,30,0.47,0.029,18,5.0
20.2,36.70016,24,0.485,0.049,19,5.0
20.4,36.70016,24,0.471,0.068,19,0.0
20.6,40.63232,24,0.42,0.071,19,0.0
20.8,22.30368,30,0.456,0.04,19,0.0
21.0,41.94304,30,0.584,0.048,19,0.0
21.2,41.28768,23,0.613,0.187,20,5.0
21.4,36.64224,23,0.428,0.032,21,5.0
21.6,36.21856,28,0.453,0.048,22,5.0
21.8,21.06912,29,0.412,0.062,22,0.0
22.0,42.29056,29,0.526,0.135,22,0.0
22.2,41.94304,29,0.451,0.048,22,0.0
22.4,40.63232,31,0.416,0.049,22,0.0
22.6,37.31904,34,0.454,0.041,22,0.0
22.8,41.29088,34,0.458,0.025,22,0.0
23.0,38.66624,36,0.411,0.02,22,0.0
23.2,41.94304,36,0.429,0.035,22,0.0
23.4,41.28768,36,0.541,0.069,22,0.0
23.6,42.25408,42,0.543,0.027,22,0.0
23.8,36.70016,29,0.425,0.019,23,5.0
24.0,36.70016,29,0.746,0.128,23,0.0
24.2,59.63776,29,0.489,0.045,23,0.0
24.4,41.28768,30,0.451,0.022,23,0.0
24.6,20.37408,34,0.434,0.052,23,0.0
24.8,55.8032,39,0.424,0.058,23,0.0
25.0,36.70016,27,0.558,0.059,24,5.0
25.2,38.66624,21,0.422,0.045,26,10.0
25.4,41.94304,24,0.428,0.017,26,0.0
25.6,41.94304,31,0.506,0.075,26,0.0
25.8,20.31616,31,0.436,0.045,26,0.0
26.0,39.3216,25,0.478,0.035,27,5.0
26.2,36.41056,18,0.544,0.128,28,5.0
26.4,36.3344,25,0.677,0.159,28,0.0
26.6,41.28768,31,0.533,0.071,28,0.0
26.8,42.34848,24,0.469,0.121,29,5.0
27.0,40.97984,24,0.402,0.053,29,0.0
27.2,37.9744,24,0.451,0.062,29,0.0
27.4,55.05024,24,0.537,0.083,29,0.0
27.6,38.01088,32,0.479,0.039,29,0.0
27.8,22.12992,32,0.494,0.033,29,0.0
28.0,41.94304,32,0.442,0.032,29,0.0
28.2,41.28768,38,0.47,0.054,29,0.0
28.4,55.05024,38,0.463,0.051,29,0.0
28.6,36.0448,30,0.575,0.112,30,5.0
28.8,41.94304,30,0.51,0.052,30,0.0
29.0,41.94304,25,0.441,0.045,31,5.0
29.2,40.63232,25,0.464,0.051,31,0.0
29.4,37.9744,22,0.442,0.048,32,5.0
29.6,36.70016,24,0.457,0.07,32,0.0
29.8,56.43712,25,0.484,0.074,33,5.0
30.0,42.52224,26,0.482,0.063,34,5.0
30.2,41.28768,26,0.503,0.095,34,0.0
30.4,39.94048,26,0.432,0.036,34,0.0
30.6,36.70016,26,0.514,0.1,34,0.0
30.8,57.01632,26,0.507,0.073,34,0.0
31.0,41.59552,19,0.426,0.055,35,5.0
31.2,42.29056,25,0.569,0.044,35,0.0
31.4,39.28512,22,0.47,0.032,36,5.0
31.6,36.70016,25,0.551,0.068,36,0.0
31.8,36.70016,25,0.523,0.082,36,0.0
32.0,59.63776,25,0.485,0.029,36,0.0
32.2,41.94304,25,0.417,0.022,36,0.0
32.4,41.07744,25,0.461,0.014,36,0.0
32.6,37.9744,25,0.496,0.023,36,0.0
32.8,36.70016,25,0.515,0.041,36,0.0
33.0,36.0448,25,0.479,0.058,36,0.0
33.2,41.8272,25,0.483,0.029,36,0.0
33.4,42.05888,29,0.471,0.03,36,0.0
33.6,59.63776,24,0.433,0.032,37,5.0
33.8,39.3216,33,0.474,0.018,37,0.0
34.0,36.0448,24,0.504,0.056,38,5.0
34.2,41.94304,24,0.496,0.038,38,0.0
34.4,41.94304,24,0.433,0.024,38,0.0
34.6,41.28768,23,0.504,0.081,39,5.0
34.8,39.3216,25,0.459,0.016,39,0.0
35.0,36.70016,25,0.513,0.048,39,0.0
35.2,38.66624,29,0.493,0.045,39,0.0
35.4,41.94304,24,0.557,0.058,40,5.0
35.6,41.28768,24,0.421,0.04,40,0.0
35.8,57.8272,24,0.511,0.011,40,0.0
36.0,36.70016,24,0.407,0.037,40,0.0
36.2,18.35008,24,0.393,0.026,40,0.0
36.4,38.66624,24,0.437,0.039,40,0.0
36.6,41.94304,24,0.452,0.056,40,0.0
36.8,41.94304,24,0.482,0.032,40,0.0
37.0,39.16928,25,0.473,0.043,41,5.0
37.2,55.05024,25,0.437,0.026,41,0.0
37.4,38.66624,27,0.483,0.067,41,0.0
37.6,41.94304,27,0.505,0.028,41,0.0
37.8,41.94304,27,0.56,0.021,41,0.0
38.0,41.28768,27,0.396,0.033,41,0.0
38.2,36.70016,27,0.473,0.034,41,0.0
38.4,36.70016,27,0.548,0.168,41,0.0
38.6,38.66624,27,0.397,0.068,41,0.0
38.8,41.71136,19,0.444,0.143,42,5.0
39.0,42.17472,25,0.411,0.013,42,0.0
39.2,57.40352,25,0.533,0.15,43,5.0
39.4,17.69472,25,0.396,0.012,43,0.0
39.6,40.71168,25,0.451,0.027,43,0.0
39.8,38.66624,25,0.438,0.06,43,0.0
40.0,41.94304,33,0.39,0.016,43,0.0
40.2,41.28768,33,0.438,0.012,43,0.0
40.4,39.3216,33,0.583,0.06,43,0.0
40.6,36.70016,33,0.397,0.03,43,0.0
40.8,36.0448,33,0.474,0.11,43,0.0
41.0,41.94304,33,0.444,0.05,43,0.0
41.2,41.30592,33,0.532,0.053,43,0.0
41.4,38.648,33,0.425,0.009,43,0.0
41.6,56.32448,24,0.497,0.029,44,5.0
41.8,36.70016,24,0.428,0.051,44,0.0
42.0,38.66624,24,0.47,0.022,44,0.0
42.2,41.94304,24,0.5,0.126,44,0.0
42.4,41.94304,24,0.464,0.037,44,0.0
42.6,38.66624,24,0.499,0.112,45,5.0
42.8,36.70016,24,0.522,0.097,45,0.0
43.0,57.01632,24,0.445,0.046,45,0.0
43.2,39.3216,25,0.458,0.031,46,5.0
43.4,41.94304,25,0.396,0.044,46,0.0
43.6,41.28768,25,0.442,0.043,46,0.0
43.8,36.70016,25,0.444,0.084,46,0.0
44.0,36.70016,25,0.431,0.08,47,5.0
44.2,59.63776,25,0.435,0.06,47,0.0
44.4,41.94304,25,0.418,0.032,47,0.0
44.6,20.97152,25,0.417,0.031,47,0.0
44.8,59.63776,25,0.515,0.052,47,0.0
45.0,36.70016,25,0.427,0.081,47,0.0
