t,goodput_mbps,cwnd,rtt_ms,rttvar_ms,retrans,loss
0.2,51.81632,47,0.486,0.038,0,0.0
0.4,0.65536,47,0.486,0.038,0,0.0
0.6,0.65536,47,0.486,0.038,0,0.0
0.8,11.14112,44,0.528,0.055,0,0.0
1.0,0.65536,44,0.528,0.055,0,0.0
1.2,0.65536,44,0.528,0.055,0,0.0
1.4,0.65536,44,0.528,0.055,0,0.0
1.6,0.65536,44,0.528,0.055,0,0.0
1.8,0.65536,44,0.528,0.055,0,0.0
2.0,0.65536,44,0.528,0.055,0,0.0
2.2,8.65376,44,0.536,0.041,0,0.0
2.4,0.65536,44,0.536,0.041,0,0.0
2.6,0.65536,44,0.536,0.041,0,0.0
2.8,0.65536,44,0.536,0.041,0,0.0
3.0,0.65536,44,0.536,0.041,0,0.0
3.2,11.00704,31,0.49,0.111,1,5.0
3.4,0.65536,31,0.49,0.111,1,0.0
3.6,0.65536,31,0.49,0.111,1,0.0
3.8,0.65536,31,0.49,0.111,1,0.0
4.0,10.90944,31,0.466,0.016,1,0.0
4.2,0.7712,31,0.47,0.019,1,0.0
4.4,0.65536,31,0.47,0.019,1,0.0
4.6,11.14112,22,0.493,0.043,2,5.0
4.8,0.65536,22,0.493,0.043,2,0.0
5.0,0.65536,22,0.493,0.043,2,0.0
5.2,10.39136,24,0.464,0.072,2,0.0
5.4,0.65536,24,0.464,0.072,2,0.0
5.6,9.8304,24,0.479,0.07,2,0.0
5.8,0.65536,24,0.479,0.07,2,0.0
6.0,9.8304,24,0.509,0.066,2,0.0
6.2,0.65536,24,0.509,0.066,2,0.0
6.4,9.8304,24,0.402,0.031,2,0.0
6.6,0.65536,24,0.402,0.031,2,0.0
6.8,9.0592,19,0.504,0.15,3,5.0
7.0,0.65536,19,0.504,0.15,3,0.0
7.2,9.94624,23,0.482,0.049,3,0.0
7.4,0.65536,23,0.482,0.049,3,0.0
7.6,9.8304,23,0.482,0.042,3,0.0
7.8,10.48576,23,0.457,0.019,3,0.0
8.0,0.65536,23,0.457,0.019,3,0.0
8.2,9.71456,25,0.424,0.032,3,0.0
8.4,10.54368,25,0.879,0.24,3,0.0
8.6,10.08032,21,0.446,0.086,4,5.0
8.8,10.6016,19,0.406,0.029,5,5.0
9.0,0.7712,19,0.403,0.028,5,0.0
9.2,20.02656,22,0.588,0.198,6,5.0
9.4,11.00704,24,0.555,0.087,6,0.0
9.6,11.98848,18,0.48,0.064,7,5.0
9.8,10.94912,23,0.476,0.026,7,0.0
10.0,13.1072,23,0.525,0.06,7,0.0
10.2,26.2144,25,0.502,0.064,7,0.0
10.4,13.1072,25,0.466,0.07,7,0.0
10.6,23.59296,25,0.488,0.043,7,0.0
10.8,10.48576,27,0.414,0.042,7,0.0
11.0,19.50528,16,0.475,0.063,9,10.0
11.2,34.8896,23,0.432,0.066,10,5.0
11.4,26.15648,25,0.412,0.019,10,0.0
11.6,25.79072,25,0.452,0.019,10,0.0
11.8,31.96032,25,0.529,0.047,10,0.0
12.0,31.45728,25,0.439,0.053,10,0.0
12.2,20.97152,25,0.444,0.032,10,0.0
12.4,31.45728,25,0.495,0.11,10,0.0
12.6,40.82432,25,0.522,0.107,10,0.0
12.8,39.78496,27,0.475,0.024,10,0.0
13.0,26.2144,27,0.457,0.051,10,0.0
13.2,43.90912,27,0.467,0.066,10,0.0
13.4,76.50656,24,0.448,0.028,11,5.0
13.6,42.56192,25,0.495,0.107,11,0.0
13.8,41.94304,25,0.47,0.037,11,0.0
14.0,44.56448,25,0.506,0.04,11,0.0
14.2,38.01088,18,0.571,0.193,12,5.0
14.4,20.68192,23,0.409,0.026,12,0.0
14.6,65.26784,108,0.544,0.026,12,0.0
14.8,0.0,111,0.55,0.024,12,0.0
15.0,0.65536,111,0.55,0.024,12,0.0
15.2,0.65536,111,0.55,0.024,12,0.0
15.4,0.65536,111,0.55,0.024,12,0.0
15.6,0.65536,111,0.55,0.024,12,0.0
15.8,118.34976,23,0.404,0.034,15,15.0
16.0,0.30784,23,0.398,0.034,15,0.0
16.2,0.65536,23,0.398,0.034,15,0.0
16.4,0.65536,23,0.398,0.034,15,0.0
16.6,0.65536,23,0.398,0.034,15,0.0
16.8,0.65536,23,0.398,0.034,15,0.0
17.0,0.65536,23,0.398,0.034,15,0.0
17.2,42.25088,50,0.56,0.053,15,0.0
17.4,0.65536,50,0.56,0.053,15,0.0
17.6,25.8336,45,0.455,0.022,15,0.0
17.8,0.65536,45,0.455,0.022,15,0.0
18.0,0.65536,45,0.455,0.022,15,0.0
18.2,0.65536,45,0.455,0.022,15,0.0
18.4,0.65536,45,0.455,0.022,15,0.0
18.6,0.65536,45,0.455,0.022,15,0.0
18.8,20.31616,45,0.525,0.075,15,0.0
19.0,0.65536,45,0.525,0.075,15,0.0
19.2,0.65536,45,0.525,0.075,15,0.0
19.4,0.65536,45,0.525,0.075,15,0.0
19.6,0.65536,45,0.525,0.075,15,0.0
19.8,0.65536,45,0.525,0.075,15,0.0
20.0,0.65536,45,0.525,0.075,15,0.0
20.2,0.65536,45,0.525,0.075,15,0.0
20.4,0.65536,45,0.525,0.075,15,0.0
20.6,0.65536,45,0.525,0.075,15,0.0
20.8,0.65536,45,0.525,0.075,15,0.0
21.0,0.65536,45,0.525,0.075,15,0.0
21.2,15.72864,45,0.581,0.083,15,0.0
21.4,0.65536,45,0.581,0.083,15,0.0
21.6,0.65536,45,0.581,0.083,15,0.0
21.8,0.65536,45,0.581,0.083,15,0.0
22.0,0.65536,45,0.581,0.083,15,0.0
22.2,0.65536,45,0.581,0.083,15,0.0
22.4,0.65536,45,0.581,0.083,15,0.0
22.6,0.65536,45,0.581,0.083,15,0.0
22.8,0.65536,45,0.581,0.083,15,0.0
23.0,0.65536,45,0.581,0.083,15,0.0
23.2,17.3472,45,0.514,0.045,15,0.0
23.4,0.65536,45,0.514,0.045,15,0.0
23.6,0.65536,45,0.514,0.045,15,0.0
23.8,0.65536,45,0.514,0.045,15,0.0
24.0,0.65536,45,0.514,0.045,15,0.0
24.2,0.65536,45,0.514,0.045,15,0.0
24.4,0.65536,45,0.514,0.045,15,0.0
24.6,20.00832,45,0.466,0.019,15,0.0
24.8,0.65536,45,0.466,0.019,15,0.0
25.0,0.65536,45,0.466,0.019,15,0.0
25.2,0.65536,45,0.466,0.019,15,0.0
25.4,0.65536,45,0.466,0.019,15,0.0
25.6,20.97152,45,0.57,0.095,15,0.0
25.8,0.65536,45,0.57,0.095,15,0.0
26.0,0.65536,45,0.57,0.095,15,0.0
26.2,0.65536,45,0.57,0.095,15,0.0
26.4,21.62688,45,0.455,0.036,15,0.0
26.6,0.65536,45,0.455,0.036,15,0.0
26.8,0.65536,45,0.455,0.036,15,0.0
27.0,0.65536,45,0.455,0.036,15,0.0
27.2,20.3344,45,0.46,0.04,15,0.0
27.4,1.29248,45,0.501,0.08,15,0.0
27.6,0.65536,45,0.501,0.08,15,0.0
27.8,22.28224,45,0.524,0.051,15,0.0
28.0,0.65536,45,0.524,0.051,15,0.0
28.2,0.65536,45,0.524,0.051,15,0.0
28.4,21.62688,45,0.492,0.109,15,0.0
28.6,0.65536,45,0.492,0.109,15,0.0
28.8,0.65536,45,0.492,0.109,15,0.0
29.0,23.55648,45,0.456,0.062,15,0.0
