t,goodput_mbps,cwnd,rtt_ms,rttvar_ms,retrans,loss
0.507,2.2876511255194907,128,107.63,1.251,0,0.0
1.047,9.256924103477802,258,202.527,6.909,43,79.60292432660512
1.593,14.060966274973948,182,191.78,9.927,127,153.94126994876947
2.111,17.685580044102487,194,103.268,0.591,127,0.0
2.621,18.835316482015898,203,103.496,0.696,127,0.0
3.13,19.63483549397013,210,104.391,0.492,127,0.0
3.648,20.203738562694593,215,103.637,0.67,127,0.0
4.163,20.667837623355844,219,102.709,0.764,127,0.0
4.68,20.832145066682415,220,103.318,0.637,127,0.0
5.186,19.950645132929427,221,106.662,3.076,127,0.0
5.706,20.123879180226456,221,103.824,0.948,127,0.0
6.223,21.04218971933187,221,102.987,0.959,127,0.0
6.723,21.138879246269763,221,104.317,0.527,127,0.0
7.227,20.13110396873206,221,103.868,1.767,127,0.0
7.739,21.253939945479587,222,103.06,0.672,127,0.0
8.245,21.241070735856045,224,102.543,1.047,127,0.0
8.745,21.35627010210986,228,104.974,0.992,127,0.0
9.25,20.673610885484198,233,103.291,0.908,127,0.0
9.752,22.273385517635944,239,103.194,1.904,127,0.0
10.261,23.23707123931614,248,105.463,2.115,127,0.0
10.763,24.082293008649906,259,103.867,0.528,127,0.0
11.264,24.6212345129467,273,103.857,0.645,127,0.0
11.767,26.14563827060665,289,103.714,0.915,127,0.0
12.268,28.342326424753857,310,103.211,0.24,127,0.0
12.771,30.045675556581912,334,103.515,0.742,127,0.0
13.271,32.926483970372544,362,104.593,0.472,127,0.0
13.773,33.85525890723094,393,103.757,0.589,127,0.0
14.274,38.741599376208875,431,111.008,0.84,127,0.0
14.775,41.51576029135179,473,105.939,0.587,127,0.0
15.276,42.80358283381348,518,115.809,0.421,127,0.0
15.776,42.61133074020636,569,128.386,0.581,127,0.0
16.277,42.75129516671913,626,139.602,0.315,127,0.0
16.778,42.67876886728534,456,103.382,0.942,141,27.925032647226388
17.281,42.54769547492055,489,110.969,0.928,141,0.0
17.783,42.351358459387875,517,115.997,1.053,141,0.0
18.284,42.539879832802676,542,123.179,0.717,141,0.0
18.786,42.118930790259704,563,130.849,0.574,141,0.0
19.288,42.27290393022408,581,134.282,0.513,141,0.0
