t,goodput_mbps,cwnd,rtt_ms,rttvar_ms,retrans,loss
0.2,70.67584,170,0.604,0.048,0,0.0
0.4,20.68192,170,0.467,0.021,0,0.0
0.6,0.65536,170,0.467,0.021,0,0.0
0.8,0.65536,170,0.467,0.021,0,0.0
1.0,0.71328,170,0.479,0.041,0,0.0
1.2,0.82912,170,0.491,0.054,0,0.0
1.4,0.71328,170,0.501,0.061,0,0.0
1.6,0.65536,170,0.501,0.061,0,0.0
1.8,0.65536,170,0.501,0.061,0,0.0
2.0,16.384,170,0.533,0.036,0,0.0
2.2,0.65536,170,0.533,0.036,0,0.0
2.4,0.65536,170,0.533,0.036,0,0.0
2.6,0.65536,170,0.533,0.036,0,0.0
2.8,0.65536,170,0.533,0.036,0,0.0
3.0,0.65536,170,0.533,0.036,0,0.0
3.2,17.69472,119,0.503,0.036,1,5.0
3.4,0.65536,119,0.503,0.036,1,0.0
3.6,0.65536,119,0.503,0.036,1,0.0
3.8,0.65536,119,0.503,0.036,1,0.0
4.0,19.00544,119,0.544,0.093,1,0.0
4.2,0.65536,119,0.544,0.093,1,0.0
4.4,0.65536,119,0.544,0.093,1,0.0
4.6,19.00544,119,0.52,0.047,1,0.0
4.8,0.65536,119,0.52,0.047,1,0.0
5.0,0.65536,119,0.52,0.047,1,0.0
5.2,0.65536,119,0.52,0.047,1,0.0
5.4,19.00544,119,0.489,0.018,1,0.0
5.6,0.65536,119,0.489,0.018,1,0.0
5.8,20.1424,119,0.491,0.037,1,0.0
6.0,0.65536,119,0.491,0.037,1,0.0
6.2,0.65536,119,0.491,0.037,1,0.0
6.4,19.1792,83,0.516,0.06,2,5.0
6.6,0.65536,83,0.516,0.06,2,0.0
6.8,0.65536,83,0.516,0.06,2,0.0
7.0,22.15136,83,0.529,0.126,2,0.0
7.2,0.65536,83,0.529,0.126,2,0.0
7.4,20.31616,83,0.586,0.096,2,0.0
7.6,0.65536,83,0.586,0.096,2,0.0
7.8,19.6608,83,0.493,0.024,2,0.0
8.0,0.65536,83,0.493,0.024,2,0.0
8.2,20.31616,83,0.532,0.073,2,0.0
8.4,0.65536,83,0.532,0.073,2,0.0
8.6,20.31616,83,0.473,0.032,2,0.0
8.8,0.65536,83,0.473,0.032,2,0.0
9.0,19.6608,83,0.443,0.021,2,0.0
9.2,25.43136,84,0.45,0.024,2,0.0
9.4,20.48992,84,0.499,0.091,2,0.0
9.6,0.65536,84,0.499,0.091,2,0.0
9.8,20.25824,58,0.416,0.057,3,5.0
10.0,21.02944,40,0.442,0.034,4,5.0
10.2,20.31616,28,0.444,0.066,5,5.0
10.4,22.24576,24,0.446,0.022,6,5.0
10.6,20.97152,24,0.448,0.056,6,0.0
10.8,20.31616,24,0.513,0.031,6,0.0
11.0,20.97152,24,0.428,0.03,6,0.0
11.2,62.99392,47,0.444,0.077,6,0.0
11.4,21.53248,32,0.365,0.017,7,5.0
11.6,41.94304,24,0.583,0.111,8,5.0
11.8,20.97152,24,0.51,0.176,8,0.0
12.0,41.28768,25,0.535,0.1,8,0.0
12.2,41.5376,18,0.443,0.068,9,5.0
12.4,42.34848,24,0.517,0.124,9,0.0
12.6,41.79072,24,0.434,0.117,9,0.0
12.8,41.94304,22,0.407,0.025,10,5.0
13.0,41.94304,27,0.388,0.028,11,5.0
13.2,41.28768,24,0.456,0.1,12,5.0
13.4,63.64928,24,0.447,0.027,12,0.0
13.6,41.90656,37,0.394,0.029,12,0.0
13.8,41.17184,29,0.562,0.068,13,5.0
14.0,42.75392,34,0.644,0.029,13,0.0
14.2,19.71872,38,0.391,0.019,13,0.0
14.4,44.144,38,0.408,0.016,13,0.0
14.6,41.42176,26,0.38,0.012,14,5.0
14.8,20.83744,30,0.484,0.069,14,0.0
15.0,21.5904,30,0.405,0.026,14,0.0
15.2,41.94304,30,0.561,0.095,14,0.0
15.4,20.97152,30,0.439,0.031,14,0.0
15.6,41.28768,30,0.437,0.022,14,0.0
