t,goodput_mbps,cwnd,rtt_ms,rttvar_ms,retrans,loss
0.2,95.896,255,0.598,0.083,0,0.0
0.4,30.80192,258,0.626,0.15,0,0.0
0.6,223.53216,360,0.497,0.044,0,0.0
0.8,41.71136,360,0.439,0.033,0,0.0
1.0,41.28768,360,0.483,0.08,0,0.0
1.2,44.79616,360,0.417,0.023,0,0.0
1.4,44.39072,360,0.49,0.077,0,0.0
1.6,44.08288,252,0.436,0.045,1,5.0
1.8,41.94304,252,0.395,0.019,1,0.0
2.0,41.28768,176,0.485,0.046,2,5.0
2.2,44.56448,176,0.41,0.05,2,0.0
2.4,44.56448,123,0.438,0.036,3,5.0
2.6,43.90912,123,0.423,0.015,3,0.0
2.8,41.94304,123,0.418,0.044,3,0.0
3.0,41.94304,86,0.445,0.025,4,5.0
3.2,43.90912,87,0.407,0.043,4,0.0
3.4,44.44864,60,0.447,0.053,5,5.0
3.6,44.02496,42,0.465,0.026,6,5.0
3.8,43.90912,44,0.371,0.021,6,0.0
4.0,0.65536,44,0.371,0.021,6,0.0
4.2,45.80224,55,0.413,0.028,6,0.0
4.4,43.90912,55,0.466,0.046,6,0.0
4.6,44.56448,55,0.449,0.073,6,0.0
4.8,0.65536,55,0.449,0.073,6,0.0
5.0,42.5984,26,0.466,0.057,8,10.0
5.2,43.21728,27,0.488,0.079,8,0.0
5.4,0.65536,27,0.488,0.079,8,0.0
5.6,41.28768,27,0.456,0.083,8,0.0
5.8,41.11392,27,0.448,0.029,8,0.0
6.0,44.6224,19,0.44,0.077,9,5.0
6.2,0.65536,19,0.44,0.077,9,0.0
6.4,43.96704,25,0.506,0.07,9,0.0
6.6,43.96704,25,0.43,0.071,9,0.0
6.8,41.94304,25,0.565,0.079,9,0.0
7.0,41.28768,25,0.444,0.077,9,0.0
7.2,0.65536,25,0.444,0.077,9,0.0
7.4,43.25376,29,0.467,0.066,9,0.0
7.6,44.73824,21,0.45,0.064,10,5.0
7.8,44.4304,23,0.429,0.029,11,5.0
8.0,41.8272,24,0.626,0.17,11,0.0
8.2,0.65536,24,0.626,0.17,11,0.0
8.4,41.3456,24,0.537,0.046,11,0.0
8.6,43.67744,17,0.49,0.142,12,5.0
8.8,44.79616,26,0.474,0.026,13,5.0
9.0,43.96704,26,0.512,0.014,13,0.0
9.2,41.94304,23,0.471,0.017,14,5.0
9.4,41.94304,25,0.436,0.045,14,0.0
9.6,0.65536,25,0.436,0.045,14,0.0
9.8,43.25376,25,0.512,0.218,14,0.0
10.0,44.56448,23,0.476,0.033,16,10.0
10.2,43.25376,25,0.387,0.082,16,0.0
10.4,43.10144,21,0.483,0.086,17,5.0
10.6,42.05888,23,0.49,0.073,17,0.0
10.8,41.28768,25,0.459,0.056,17,0.0
11.0,0.65536,25,0.459,0.056,17,0.0
11.2,43.90912,25,0.54,0.07,17,0.0
11.4,44.56448,25,0.527,0.046,17,0.0
11.6,43.90912,25,0.475,0.053,17,0.0
11.8,41.94304,25,0.478,0.068,18,5.0
12.0,41.28768,25,0.455,0.028,18,0.0
12.2,44.56448,28,0.463,0.023,18,0.0
12.4,44.56448,24,0.463,0.033,19,5.0
12.6,43.90912,24,0.485,0.048,19,0.0
12.8,41.94304,24,0.432,0.032,19,0.0
13.0,41.94304,24,0.393,0.022,19,0.0
13.2,43.90912,24,0.42,0.043,19,0.0
13.4,0.65536,24,0.42,0.043,19,0.0
13.6,43.90912,21,0.512,0.071,21,10.0
13.8,43.25376,24,0.449,0.08,21,0.0
14.0,43.2752,24,0.745,0.312,21,0.0
14.2,41.88512,24,0.415,0.039,21,0.0
14.4,41.3456,24,0.469,0.056,21,0.0
14.6,44.56448,24,0.484,0.046,21,0.0
14.8,43.25376,24,0.414,0.06,21,0.0
