t,goodput_mbps,cwnd,rtt_ms,rttvar_ms,retrans,loss
0.548,0.5377902355035579,40,202.273,7.207,0,0.0
1.064,5.007031538358966,303,210.872,8.592,0,0.0
1.57,4.308085864359093,364,179.754,1.214,77,152.10158774413927
2.083,16.73545812607649,242,183.563,0.6,209,257.28339049212326
2.602,19.277425239744353,274,179.655,0.566,209,0.0
3.14,15.27792684391097,287,180.679,0.608,209,0.0
3.68,15.870654707938193,298,183.819,10.209,209,0.0
4.22,16.330871891999703,305,181.985,1.001,209,0.0
4.764,16.58543153654153,310,179.45,0.694,209,0.0
5.307,16.94029505002271,314,187.093,9.291,209,0.0
5.842,17.351788586847007,317,179.644,1.863,209,0.0
6.391,17.015962678855434,317,182.115,5.963,209,0.0
6.931,17.253543079681503,317,180.738,2.673,209,0.0
7.592,6.64260833063581,317,180.074,0.933,209,0.0
8.173,3.298581040651034,317,183.628,2.573,209,0.0
8.705,17.513371101782127,317,180.106,2.45,209,0.0
9.234,17.636068052490483,317,181.293,2.138,209,0.0
9.736,17.741774967833962,318,179.012,0.898,209,0.0
10.237,16.531472585292587,321,180.395,0.701,209,0.0
10.74,17.458709776550258,323,179.033,0.841,209,0.0
11.24,17.920875330346522,328,179.196,0.775,209,0.0
11.746,18.64199837413974,335,179.543,2.16,209,0.0
12.249,18.526576820268364,343,180.057,0.594,209,0.0
12.759,18.435524024353043,354,179.936,1.062,209,0.0
13.261,19.560673430962055,368,178.076,0.483,209,0.0
13.767,20.39710142447928,385,178.287,0.811,209,0.0
14.272,21.91710704043195,405,180.266,1.863,209,0.0
14.772,22.515566582897883,429,182.961,2.299,209,0.0
15.272,23.656931237795458,457,179.829,0.442,209,0.0
15.777,20.97864542487986,337,179.075,1.24,211,3.9618709368144387
16.283,19.180483482159165,363,178.999,0.943,211,0.0
16.791,16.535616832411744,263,178.552,0.719,214,5.90591492099968
17.296,14.385194632118692,276,178.816,0.955,214,0.0
17.798,15.176283757200023,286,178.669,0.895,214,0.0
18.303,15.924295018980747,294,177.756,0.393,214,0.0
18.822,15.909915792369045,301,181.228,3.247,214,0.0
19.328,14.006753530237743,218,178.751,1.709,216,3.94949829752614
19.835,11.931821931950276,229,178.861,1.161,216,0.0
20.346,12.375378893340379,238,182.995,7.816,216,0.0
20.89,12.544772730242402,228,178.156,0.236,218,3.679975854650612
21.415,11.356685439870683,180,177.808,1.129,218,0.0
21.927,10.340659568783508,189,178.472,0.842,218,0.0
22.432,10.622076112729442,196,178.575,1.21,218,0.0
22.945,10.532744281359466,202,179.326,2.625,218,0.0
23.459,10.636178643236986,205,193.331,13.073,218,0.0
23.961,11.663819142666844,207,178.588,0.933,218,0.0
24.477,11.38325254771746,208,178.928,1.228,218,0.0
24.989,11.530772806092601,208,178.613,2.232,218,0.0
25.49,11.746304647559626,208,178.456,0.777,218,0.0
25.992,11.040293689016586,208,181.344,1.105,218,0.0
26.502,11.06144401492096,208,178.629,1.319,218,0.0
27.027,11.432878475596752,209,178.615,1.832,218,0.0
27.533,11.94616332001895,212,178.881,0.717,218,0.0
28.036,11.722528078414117,214,178.907,1.917,218,0.0
28.548,12.071487557222769,219,178.17,0.706,218,0.0
