algorithm,world_size,msg_bytes,time_ms
swing_allgather,8,16384,1.241500001924578
swing_allgather,8,16384,1.2182999998913147
swing_allgather,8,65536,3.407000003790017
swing_allgather,8,65536,4.413200003909878
swing_allgather,8,65536,3.3309999998891726
swing_allgather,8,262144,12.268799997400492
swing_allgather,8,262144,11.976500005403068
swing_allgather,8,262144,13.046100000792649
swing_allgather,8,1048576,21.359500002290588
swing_allgather,8,1048576,23.368800000753254
swing_allgather,8,1048576,26.301500001864042
swing_allgather,8,4194304,83.08000000397442
swing_allgather,8,4194304,81.71379999839701
swing_allgather,8,4194304,82.23010000074282
swing_allgather,8,16777216,400.78229999926407
swing_allgather,8,16777216,396.2270999982138
swing_allgather,8,16777216,388.4385999990627
swing_allgather,8,33554432,835.5775000018184
swing_allgather,8,33554432,836.2455999958911
swing_allgather,8,33554432,844.6427000017138
binary_tree_broadcast,2,1048576,0.6143999999039806
binary_tree_broadcast,2,1048576,0.5148999989614822
binary_tree_broadcast,2,1048576,0.5797999983769841
binary_tree_broadcast,4,1048576,1.1803999950643629
binary_tree_broadcast,4,1048576,1.0485999955562875
binary_tree_broadcast,4,1048576,1.1754000006476417
binomial_tree_broadcast,2,1048576,0.6406999964383431
binomial_tree_broadcast,2,1048576,0.738300004741177
binomial_tree_broadcast,2,1048576,0.5821000013384037
binomial_tree_broadcast,4,1048576,1.072400002158247
binomial_tree_broadcast,4,1048576,1.2043999959132634
binomial_tree_broadcast,4,1048576,1.189199996588286
ring_allgather,2,1048576,10.756399999081623
ring_allgather,2,1048576,10.424699998111464
ring_allgather,2,1048576,10.087499998917338
ring_allgather,4,1048576,4.252099999575876
ring_allgather,4,1048576,5.131799996888731
ring_allgather,4,1048576,4.1368000020156614
recursive_doubling_allgather,2,1048576,10.707300003559794
recursive_doubling_allgather,2,1048576,9.473799997067545
recursive_doubling_allgather,2,1048576,8.216500005801208
recursive_doubling_allgather,4,1048576,12.196399999083951
recursive_doubling_allgather,4,1048576,7.946999998239335
recursive_doubling_allgather,4,1048576,11.452300001110416
swing_allgather,2,1048576,5.670799997460563
swing_allgather,2,1048576,11.051000001316424
swing_allgather,2,1048576,11.179799999808893
swing_allgather,4,1048576,12.61040000099456
swing_allgather,4,1048576,12.99299999664072
swing_allgather,4,1048576,17.0429999998305
