t,goodput_mbps,cwnd,rtt_ms,rttvar_ms,retrans,loss
0.521,2.8499709672126046,17,35.383,0.904,6,11.52726786358831
1.033,5.365650524424188,24,38.06,1.263,6,0.0
1.542,7.204352896152999,31,37.319,0.748,6,0.0
2.048,8.97268514647621,39,36.806,1.274,6,0.0
2.553,10.530749884395288,45,37.327,0.855,6,0.0
3.054,12.991346628574421,53,37.082,0.619,6,0.0
3.556,14.527388477314195,60,37.573,0.629,6,0.0
4.068,16.37499714584519,67,41.153,1.731,6,0.0
4.571,17.856945225316398,74,37.563,0.981,6,0.0
5.071,20.446686957178837,81,37.463,0.672,6,0.0
5.58,21.795130314633294,88,36.817,0.407,6,0.0
6.088,24.068622363302715,95,37.031,0.27,6,0.0
6.597,25.476249783821128,102,38.317,1.651,6,0.0
7.098,27.079642252860896,110,38.325,2.75,6,0.0
7.603,29.102501221140496,116,37.815,0.525,6,0.0
8.103,30.61047468790613,123,37.564,0.46,6,0.0
8.605,31.99680384897722,130,37.892,0.606,6,0.0
9.108,34.702862578041824,137,37.11,0.492,6,0.0
9.909,17.50574348904145,143,39.434,0.623,6,0.0
10.493,6.584050847791652,145,38.365,0.938,6,0.0
10.993,39.69986044704506,172,37.393,0.371,6,0.0
11.493,42.88252052913123,205,44.979,0.697,6,0.0
11.995,42.605986450027004,243,54.341,0.808,6,0.0
12.495,42.53556722547619,286,64.348,0.412,6,0.0
12.997,42.58634996303282,319,59.546,2.91,7,1.995824014770121
13.522,42.62323770931126,225,64.878,3.11,9,3.8041951953068667
14.025,42.43569269599001,240,55.113,0.629,11,3.981192743060351
14.526,42.485556882123134,245,56.143,0.577,11,0.0
15.027,42.42894603191094,250,56.988,0.289,11,0.0
15.53,42.527714223983324,254,58.276,0.52,11,0.0
16.031,42.55613725845827,259,59.51,0.426,11,0.0
16.531,42.46410037408361,264,60.182,0.514,11,0.0
17.036,42.663437698822754,268,61.085,0.846,11,0.0
17.536,42.471004408385674,272,62.423,0.581,11,0.0
18.037,42.511289392782345,276,63.924,0.662,11,0.0
18.541,42.475804291379205,280,65.329,0.918,11,0.0
19.042,42.5168497826334,293,66.943,0.336,11,0.0
