flow_id,src_ip,dst_ip,src_port,dst_port,tx_packets,rx_packets,time_first_tx,time_last_rx,fct_sec,rx_bytes
120,10.0.1.2,10.0.30.2,49182,9030,47331,46499,0.106000000,1.250310952,1.144310952,69526816
122,10.0.1.2,10.0.31.2,49183,9031,49630,48223,0.106100000,1.251163570,1.145063570,69688104
124,10.0.2.2,10.0.0.2,49153,9000,64310,63670,0.106200000,0.143341226,0.037141226,70558044
127,10.0.2.2,10.0.1.2,49154,9001,47410,46898,0.106300000,0.142622375,0.036322375,69616236
129,10.0.2.2,10.0.3.2,49155,9003,49069,48365,0.106400000,1.182502876,1.076102876,69670184
131,10.0.2.2,10.0.4.2,49156,9004,51094,50326,0.106500000,1.198498148,1.091998148,69790220
133,10.0.2.2,10.0.5.2,49157,9005,52168,51272,0.106600000,1.196716390,1.090116390,69828252
135,10.0.2.2,10.0.6.2,49158,9006,52686,51982,0.106700000,1.188975526,1.082275526,69846684
137,10.0.2.2,10.0.7.2,49159,9007,47027,46451,0.106800000,1.210725207,1.103925207,69524320
139,10.0.2.2,10.0.8.2,49160,9008,47037,46461,0.106900000,1.213036297,1.106136297,69524840
141,10.0.2.2,10.0.9.2,49161,9009,46875,46363,0.107000000,1.186547555,1.079547555,69519744
142,10.0.2.2,10.0.10.2,49162,9010,46864,46352,0.107100000,1.211921202,1.104821202,69519172
144,10.0.2.2,10.0.11.2,49163,9011,46798,46350,0.107200000,1.202162571,1.094962571,69519068
146,10.0.2.2,10.0.12.2,49164,9012,46805,46357,0.107300000,1.188016256,1.080716256,69519432
148,10.0.2.2,10.0.13.2,49165,9013,46798,46350,0.107400000,1.187972450,1.080572450,69519068
150,10.0.2.2,10.0.14.2,49166,9014,46722,46402,0.107500000,0.143388338,0.035888338,69521772
152,10.0.2.2,10.0.15.2,49167,9015,46670,46350,0.107600000,1.187827109,1.080227109,69519068
154,10.0.2.2,10.0.16.2,49168,9016,47131,46455,0.107700000,3.164786351,3.057086351,69524528
156,10.0.2.2,10.0.17.2,49169,9017,46968,46456,0.107800000,2.185475802,2.077675802,69524580
158,10.0.2.2,10.0.18.2,49170,9018,47030,46454,0.107900000,1.250077970,1.142177970,69524476
160,10.0.2.2,10.0.19.2,49171,9019,46852,46404,0.108000000,1.250052223,1.142052223,69521876
162,10.0.2.2,10.0.20.2,49172,9020,46786,46402,0.108100000,0.212469408,0.104369408,69523220
164,10.0.2.2,10.0.21.2,49173,9021,47049,46404,0.108200000,1.262870499,1.154670499,69523324
166,10.0.2.2,10.0.22.2,49174,9022,46787,46403,0.108300000,2.185602602,2.077302602,69521824
168,10.0.2.2,10.0.23.2,49175,9023,46851,46403,0.108400000,1.250436591,1.142036591,69521824
170,10.0.2.2,10.0.24.2,49176,9024,47447,46551,0.108500000,2.184787963,2.076287963,69529520
172,10.0.2.2,10.0.25.2,49177,9025,47305,46537,0.108600000,2.183983021,2.075383021,69528792
174,10.0.2.2,10.0.26.2,49178,9026,47611,46425,0.108700000,3.164206461,3.055506461,69522968
176,10.0.2.2,10.0.27.2,49179,9027,47653,46523,0.108800000,1.266912260,1.158112260,69528064
178,10.0.2.2,10.0.28.2,49180,9028,47346,46514,0.108900000,2.185442715,2.076542715,69527596
180,10.0.2.2,10.0.29.2,49181,9029,47276,46508,0.109000000,2.185402545,2.076402545,69527284
182,10.0.2.2,10.0.30.2,49182,9030,50726,49190,0.109100000,2.186265314,2.077165314,69720588
184,10.0.2.2,10.0.31.2,49183,9031,50620,49148,0.109200000,2.186318640,2.077118640,69717820
186,10.0.3.2,10.0.0.2,49153,9000,66239,65535,0.109300000,0.160381334,0.051081334,70667632
189,10.0.3.2,10.0.1.2,49154,9001,62583,61943,0.109400000,0.160380429,0.050980429,70434280
191,10.0.3.2,10.0.2.2,49155,9002,47379,46867,0.109500000,0.160323319,0.050823319,69599616
193,10.0.3.2,10.0.4.2,49156,9004,61087,60447,0.109600000,1.177589477,1.067989477,70252112
195,10.0.3.2,10.0.5.2,49157,9005,61139,60499,0.109700000,1.195025988,1.085325988,70254816
197,10.0.3.2,10.0.6.2,49158,9006,47118,46542,0.109800000,1.197707520,1.087907520,69529052
199,10.0.3.2,10.0.7.2,49159,9007,47060,46484,0.109900000,1.205096640,1.095196640,69526036
201,10.0.3.2,10.0.8.2,49160,9008,46890,46378,0.110000000,1.202238573,1.092238573,69520524
203,10.0.3.2,10.0.9.2,49161,9009,46876,46364,0.110100000,1.191440754,1.081340754,69519796
205,10.0.3.2,10.0.10.2,49162,9010,46869,46357,0.110200000,1.206599043,1.096399043,69519432
206,10.0.3.2,10.0.11.2,49163,9011,46798,46350,0.110300000,1.199443363,1.089143363,69519068
208,10.0.3.2,10.0.12.2,49164,9012,46797,46349,0.110400000,1.192299939,1.081899939,69519016
210,10.0.3.2,10.0.13.2,49165,9013,46734,46350,0.110500000,1.192278669,1.081778669,69519068
212,10.0.3.2,10.0.14.2,49166,9014,46699,46507,0.110600000,0.160593990,0.049993990,69527232
214,10.0.3.2,10.0.15.2,49167,9015,46582,46454,0.110700000,0.160636091,0.049936091,69524476
216,10.0.3.2,10.0.16.2,49168,9016,46979,46403,0.110800000,1.250136206,1.139336206,69521824
218,10.0.3.2,10.0.17.2,49169,9017,47130,46402,0.110900000,2.193070171,2.082170171,69521772
220,10.0.3.2,10.0.18.2,49170,9018,47095,46455,0.111000000,1.250336194,1.139336194,69524528
222,10.0.3.2,10.0.19.2,49171,9019,46914,46402,0.111100000,1.250847921,1.139747921,69521772
224,10.0.3.2,10.0.20.2,49172,9020,46915,46403,0.111200000,1.250973152,1.139773152,69521824
226,10.0.3.2,10.0.21.2,49173,9021,46915,46403,0.111300000,1.250719458,1.139419458,69521824
228,10.0.3.2,10.0.22.2,49174,9022,47030,46455,0.111400000,1.251223350,1.139823350,69524528
230,10.0.3.2,10.0.23.2,49175,9023,46915,46403,0.111500000,1.251290452,1.139790452,69521824
232,10.0.3.2,10.0.24.2,49176,9024,46914,46402,0.111600000,1.250738042,1.139138042,69521772
234,10.0.3.2,10.0.25.2,49177,9025,46851,46403,0.111700000,1.251354653,1.139654653,69521824
236,10.0.3.2,10.0.26.2,49178,9026,47456,46560,0.111800000,1.250344028,1.138544028,69531436
238,10.0.3.2,10.0.27.2,49179,9027,47086,46446,0.111900000,2.184540903,2.072640903,69524060
240,10.0.3.2,10.0.28.2,49180,9028,47341,46509,0.112000000,1.250922775,1.138922775,69528784
242,10.0.3.2,10.0.29.2,49181,9029,47595,46456,0.112100000,2.190332977,2.078232977,69524580
244,10.0.3.2,10.0.30.2,49182,9030,47303,46403,0.112200000,2.189432789,2.077232789,69521824
246,10.0.3.2,10.0.31.2,49183,9031,47213,46509,0.112300000,1.250700152,1.138400152,69528784
248,10.0.4.2,10.0.0.2,49153,9000,70138,69690,0.112400000,0.179863760,0.067463760,70857148
251,10.0.4.2,10.0.1.2,49154,9001,47311,46671,0.112500000,1.180775995,1.068275995,69591896
253,10.0.4.2,10.0.2.2,49155,9002,47098,46586,0.112600000,1.179772330,1.067172330,69531340
255,10.0.4.2,10.0.3.2,49156,9003,47093,46709,0.112700000,0.180124170,0.067424170,69549320
257,10.0.4.2,10.0.5.2,49157,9005,61247,60543,0.112800000,1.176396002,1.063596002,70270136
259,10.0.4.2,10.0.6.2,49158,9006,61117,60541,0.112900000,1.174249948,1.061349948,70257000
260,10.0.4.2,10.0.7.2,49159,9007,47539,46479,0.113000000,2.194847160,2.081847160,69525776
263,10.0.4.2,10.0.8.2,49160,9008,46893,46381,0.113100000,1.182068510,1.068968510,69520680
265,10.0.4.2,10.0.9.2,49161,9009,46877,46365,0.113200000,1.172617871,1.059417871,69519848
266,10.0.4.2,10.0.10.2,49162,9010,46862,46350,0.113300000,1.182927602,1.069627602,69519068
269,10.0.4.2,10.0.11.2,49163,9011,46797,46349,0.113400000,1.320750068,1.207350068,69519016
270,10.0.4.2,10.0.12.2,49164,9012,46798,46350,0.113500000,1.173566970,1.060066970,69519068
272,10.0.4.2,10.0.13.2,49165,9013,46798,46350,0.113600000,1.174040490,1.060440490,69519068
274,10.0.4.2,10.0.14.2,49166,9014,46774,46390,0.113700000,1.174124413,1.060424413,69521148
276,10.0.4.2,10.0.15.2,49167,9015,46583,46455,0.113800000,0.180282926,0.066482926,69524528
278,10.0.4.2,10.0.16.2,49168,9016,46774,46454,0.113900000,0.230932061,0.117032061,69524476
280,10.0.4.2,10.0.17.2,49169,9017,46838,46454,0.114000000,0.215697088,0.101697088,69524476
282,10.0.4.2,10.0.18.2,49170,9018,46722,46402,0.114100000,0.217896202,0.103796202,69521772
284,10.0.4.2,10.0.19.2,49171,9019,46838,46454,0.114200000,0.216057577,0.101857577,69524476
286,10.0.4.2,10.0.20.2,49172,9020,46722,46402,0.114300000,0.218764693,0.104464693,69521772
288,10.0.4.2,10.0.21.2,49173,9021,46722,46402,0.114400000,0.217938512,0.103538512,69521772
290,10.0.4.2,10.0.22.2,49174,9022,46839,46455,0.114500000,0.221356035,0.106856035,69524528
292,10.0.4.2,10.0.23.2,49175,9023,46722,46402,0.114600000,0.221525555,0.106925555,69521772
294,10.0.4.2,10.0.24.2,49176,9024,46721,46401,0.114700000,0.225825240,0.111125240,69521720
296,10.0.4.2,10.0.25.2,49177,9025,46722,46402,0.114800000,0.223530547,0.108730547,69521772
298,10.0.4.2,10.0.26.2,49178,9026,46658,46402,0.114900000,0.222798747,0.107898747,69521772
300,10.0.4.2,10.0.27.2,49179,9027,53041,52081,0.115000000,1.249705515,1.134705515,69958752
302,10.0.4.2,10.0.28.2,49180,9028,53039,51842,0.115100000,2.189297104,2.074197104,69911660
304,10.0.4.2,10.0.29.2,49181,9029,53034,52074,0.115200000,1.249890078,1.134690078,69948940
306,10.0.4.2,10.0.30.2,49182,9030,53092,52068,0.115300000,1.249929244,1.134629244,69947516
308,10.0.4.2,10.0.31.2,49183,9031,52231,51176,0.115400000,2.189231206,2.073831206,69928204
310,10.0.5.2,10.0.0.2,49153,9000,63733,63285,0.115500000,0.166243005,0.050743005,70502424
313,10.0.5.2,10.0.1.2,49154,9001,63549,63101,0.115600000,0.166876088,0.051276088,70489872
315,10.0.5.2,10.0.2.2,49155,9002,62947,62499,0.115700000,0.167003130,0.051303130,70442816
317,10.0.5.2,10.0.3.2,49156,9003,46977,46593,0.115800000,1.181157177,1.065357177,69531704
319,10.0.5.2,10.0.4.2,49157,9004,46847,46591,0.115900000,0.167008070,0.051108070,69531600
321,10.0.5.2,10.0.6.2,49158,9006,48107,47531,0.116000000,1.195599217,1.079599217,69648144
323,10.0.5.2,10.0.7.2,49159,9007,47024,46576,0.116100000,1.210344948,1.094244948,69530820
325,10.0.5.2,10.0.8.2,49160,9008,46997,46549,0.116200000,1.214010039,1.097810039,69529416
326,10.0.5.2,10.0.9.2,49161,9009,46964,46516,0.116300000,1.180314132,1.064014132,69527700
329,10.0.5.2,10.0.10.2,49162,9010,46873,46489,0.116400000,1.211682235,1.095282235,69526296
330,10.0.5.2,10.0.11.2,49163,9011,46931,46483,0.116500000,1.204490513,1.087990513,69525984
332,10.0.5.2,10.0.12.2,49164,9012,46989,46477,0.116600000,1.180894716,1.064294716,69525672
334,10.0.5.2,10.0.13.2,49165,9013,46854,46470,0.116700000,1.180855984,1.064155984,69525308
336,10.0.5.2,10.0.14.2,49166,9014,46583,46455,0.116800000,0.167075305,0.050275305,69524528
338,10.0.5.2,10.0.15.2,49167,9015,46466,46402,0.116900000,0.167081147,0.050181147,69521772
340,10.0.5.2,10.0.16.2,49168,9016,46926,46350,0.117000000,2.172243927,2.055243927,69519068
342,10.0.5.2,10.0.17.2,49169,9017,46799,46351,0.117100000,2.174924405,2.057824405,69519120
344,10.0.5.2,10.0.18.2,49170,9018,46862,46350,0.117200000,2.180175280,2.062975280,69519068
346,10.0.5.2,10.0.19.2,49171,9019,47155,46387,0.117300000,2.180670703,2.063370703,69520992
348,10.0.5.2,10.0.20.2,49172,9020,46903,46351,0.117400000,2.195393231,2.077993231,69519120
350,10.0.5.2,10.0.21.2,49173,9021,46926,46351,0.117500000,2.181276173,2.063776173,69519120
352,10.0.5.2,10.0.22.2,49174,9022,47054,46350,0.117600000,1.254438125,1.136838125,69519068
354,10.0.5.2,10.0.23.2,49175,9023,47134,46350,0.117700000,1.272133121,1.154433121,69519068
356,10.0.5.2,10.0.24.2,49176,9024,46926,46350,0.117800000,1.254649672,1.136849672,69519068
358,10.0.5.2,10.0.25.2,49177,9025,46733,46349,0.117900000,0.225458970,0.107558970,69519016
360,10.0.5.2,10.0.26.2,49178,9026,46756,46349,0.118000000,1.270398675,1.152398675,69519016
362,10.0.5.2,10.0.27.2,49179,9027,46669,46349,0.118100000,0.230054575,0.111954575,69519016
364,10.0.5.2,10.0.28.2,49180,9028,46669,46349,0.118200000,0.226830955,0.108630955,69519016
366,10.0.5.2,10.0.29.2,49181,9029,46931,46350,0.118300000,2.195080165,2.076780165,69519068
368,10.0.5.2,10.0.30.2,49182,9030,46797,46349,0.118400000,1.254792101,1.136392101,69519016
370,10.0.5.2,10.0.31.2,49183,9031,46787,46403,0.118500000,1.262292487,1.143792487,69521824
372,10.0.6.2,10.0.0.2,49153,9000,65788,65212,0.118600000,0.164180829,0.045580829,70614988
375,10.0.6.2,10.0.1.2,49154,9001,65798,65286,0.118700000,0.164868001,0.046168001,70606636
377,10.0.6.2,10.0.2.2,49155,9002,65984,65472,0.118800000,0.164985159,0.046185159,70603292
379,10.0.6.2,10.0.3.2,49156,9003,62044,61532,0.118900000,0.164990495,0.046090495,70395340
381,10.0.6.2,10.0.4.2,49157,9004,47100,46716,0.119000000,0.164992195,0.045992195,69570220
383,10.0.6.2,10.0.5.2,49158,9005,46967,46519,0.119100000,1.212791528,1.093691528,69527856
385,10.0.6.2,10.0.7.2,49159,9007,47790,47214,0.119200000,1.211809655,1.092609655,69633852
387,10.0.6.2,10.0.8.2,49160,9008,46996,46548,0.119300000,1.219084365,1.099784365,69529364
389,10.0.6.2,10.0.9.2,49161,9009,46976,46528,0.119400000,1.188870950,1.069470950,69528324
390,10.0.6.2,10.0.10.2,49162,9010,46882,46498,0.119500000,1.217248850,1.097748850,69526764
392,10.0.6.2,10.0.11.2,49163,9011,47033,46457,0.119600000,1.200912386,1.081312386,69524632
395,10.0.6.2,10.0.12.2,49164,9012,46908,46460,0.119700000,1.189537851,1.069837851,69524788
396,10.0.6.2,10.0.13.2,49165,9013,46977,46465,0.119800000,1.189538232,1.069738232,69525048
