flow_id,src_ip,dst_ip,src_port,dst_port,tx_packets,rx_packets,time_first_tx,time_last_rx,fct_sec,rx_bytes
120,10.0.1.2,10.0.30.2,49182,9030,46532,46349,0.106000000,1.216550507,1.110550507,69519016
122,10.0.1.2,10.0.31.2,49183,9031,46645,46350,0.106100000,1.215386553,1.109286553,69519068
124,10.0.2.2,10.0.0.2,49153,9000,46562,46498,0.106200000,0.207854416,0.101654416,69526764
127,10.0.2.2,10.0.1.2,49154,9001,56728,56728,0.106300000,0.203373596,0.097073596,70058724
129,10.0.2.2,10.0.3.2,49155,9003,49393,49329,0.106400000,0.190569790,0.084169790,69691352
131,10.0.2.2,10.0.4.2,49156,9004,47353,47289,0.106500000,0.200208033,0.093708033,69585872
133,10.0.2.2,10.0.5.2,49157,9005,46835,46771,0.106600000,0.203162261,0.096562261,69558336
135,10.0.2.2,10.0.6.2,49158,9006,46972,46908,0.106700000,0.208557090,0.101857090,69565460
137,10.0.2.2,10.0.7.2,49159,9007,46881,46817,0.106800000,0.201681841,0.094881841,69560728
139,10.0.2.2,10.0.8.2,49160,9008,46864,46800,0.106900000,0.205852330,0.098952330,69559844
141,10.0.2.2,10.0.9.2,49161,9009,46813,46749,0.107000000,0.202908046,0.095908046,69558304
143,10.0.2.2,10.0.10.2,49162,9010,46774,46710,0.107100000,0.207007952,0.099907952,69555164
145,10.0.2.2,10.0.11.2,49163,9011,46742,46678,0.107200000,0.205574836,0.098374836,69553340
147,10.0.2.2,10.0.12.2,49164,9012,46705,46641,0.107300000,0.204911105,0.097611105,69551416
149,10.0.2.2,10.0.13.2,49165,9013,56728,56728,0.107400000,0.206623867,0.099223867,70058724
151,10.0.2.2,10.0.14.2,49166,9014,56696,56696,0.107500000,0.205032286,0.097532286,70057060
153,10.0.2.2,10.0.15.2,49167,9015,46466,46402,0.107600000,0.205937643,0.098337643,69521772
155,10.0.2.2,10.0.16.2,49168,9016,46734,46349,0.107700000,1.228500958,1.120800958,69519016
157,10.0.2.2,10.0.17.2,49169,9017,46583,46350,0.107800000,1.216943132,1.109143132,69519068
159,10.0.2.2,10.0.18.2,49170,9018,46861,46350,0.107900000,1.223519996,1.115619996,69519068
160,10.0.2.2,10.0.19.2,49171,9019,46582,46350,0.108000000,1.217656345,1.109656345,69519068
162,10.0.2.2,10.0.20.2,49172,9020,46583,46350,0.108100000,1.217754234,1.109654234,69519068
164,10.0.2.2,10.0.21.2,49173,9021,46725,46350,0.108200000,1.228702448,1.120502448,69519068
166,10.0.2.2,10.0.22.2,49174,9022,46585,46351,0.108300000,1.217839280,1.109539280,69519120
168,10.0.2.2,10.0.23.2,49175,9023,46650,46351,0.108400000,1.215968893,1.107568893,69519120
170,10.0.2.2,10.0.24.2,49176,9024,46586,46350,0.108500000,1.217982375,1.109482375,69519068
172,10.0.2.2,10.0.25.2,49177,9025,46577,46349,0.108600000,1.218350362,1.109750362,69519016
174,10.0.2.2,10.0.26.2,49178,9026,46786,46349,0.108700000,1.232678791,1.123978791,69519016
176,10.0.2.2,10.0.27.2,49179,9027,46649,46350,0.108800000,1.215604669,1.106804669,69519068
178,10.0.2.2,10.0.28.2,49180,9028,46650,46349,0.108900000,1.215971627,1.107071627,69519016
180,10.0.2.2,10.0.29.2,49181,9029,46586,46350,0.109000000,1.218036819,1.109036819,69519068
182,10.0.2.2,10.0.30.2,49182,9030,46588,46350,0.109100000,1.218140437,1.109040437,69519068
184,10.0.2.2,10.0.31.2,49183,9031,46588,46350,0.109200000,1.218192823,1.108992823,69519068
186,10.0.3.2,10.0.0.2,49153,9000,46578,46514,0.109300000,0.208361020,0.099061020,69527596
189,10.0.3.2,10.0.1.2,49154,9001,46562,46498,0.109400000,0.203872326,0.094472326,69526764
191,10.0.3.2,10.0.2.2,49155,9002,46546,46482,0.109500000,0.203371347,0.093871347,69525932
193,10.0.3.2,10.0.4.2,49156,9004,49272,49208,0.109600000,0.191772829,0.082172829,69685060
195,10.0.3.2,10.0.5.2,49157,9005,47427,47363,0.109700000,0.201958356,0.092258356,69588872
197,10.0.3.2,10.0.6.2,49158,9006,47121,47057,0.109800000,0.208736603,0.098936603,69573208
199,10.0.3.2,10.0.7.2,49159,9007,47061,46933,0.109900000,0.202616554,0.092716554,69584736
201,10.0.3.2,10.0.8.2,49160,9008,46866,46802,0.110000000,0.206086326,0.096086326,69559948
203,10.0.3.2,10.0.9.2,49161,9009,46813,46749,0.110100000,0.203174479,0.093074479,69557192
